09254,FRENCH BREAD BAGUETTE FZN ,20 CT,CASE,"The New World Bakery, Kyle TX","AU,DA",,,,,,,,,
18675,"GUAJILLO CORN TORTILLAS 4"" FZN ",18/60 CT,CASE ,"El Milagro, San Marcos TX","AU,DA,HO",,,,,,,,,
29018,"HOAGIE SLICED BREAD 6"" ",6 DZ ,CASE ,"The New World Bakery, Kyle TX","AU,DA",,,,,,,,,
23402,HONEY BRAN MUFFIN MIX,18# ,CASE,"Maui Muffins, Plano TX","AU,DA",,,,,,,,,
23403,LEMON POPPY SEED MUFFIN BATTER,18# ,CASE,"Maui Muffins, Plano TX","AU,DA,HO",,,,,,,,,
23389,MORNING MUFFIN BATTER GF,18#,CASE,"Maui Muffins, Plano TX","AU,DA,HO",,,,,,,,,
27138,ORGANIC BLUE CORN CHIPS,9/16 OZ,CASE ,"Xochitl, Irving TX","AU,DA",,,,,,,,,
10746,PAIN AU LEVAIN PULLMAN FZ   ,12 CT,CASE ,"The New World Bakery, Kyle TX",DA,,,,,,,,,
23390,PEACH MUFFIN BATTER,18#,CASE,"Maui Muffins, Plano TX",AU,,,,,,,,,
25430,PINA COLADA MUFFIN MIX ,18# ,CASE,"Maui Muffins, Plano TX","AU,HO",,,,,,,,,
09127,PITA BREAD FZN ,12 / 10 CT,CASE ,"The New World Bakery, Kyle TX",AU,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,
 , , , , ,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ITEM#,BREAD CONT,PACK,UOM,ARTISAN,AVAILABLE LOCATION,,,,,,,,,
09147,"PIZZA CRUST  DOUGH 16"" FZ  ",24 CT ,CASE ,"The New World Bakery, Kyle TX","AU,HO",,,,,,,,,
25434,PLAIN MUFFIN GLUTEN FREE,18# ,CASE,"Maui Muffins, Plano TX","AU,HO",,,,,,,,,
13589,PRECOOKED TORTILLAS CHIP EM NEW,2/5#,CASE ,"El Milagro, San Marcos TX",AU,,,,,,,,,
05171,PRETZEL SOURDOUGH TX TWST LOCAL  *,16/4 CT ,CASE ,"Texas Twist, Carrollton TX",DA,,,,,,,,,
10975,PUMPERNICKEL DELI BREAD ,10 CT,CASE,"The New World Bakery, Kyle TX","AU,DA,HO",,,,,,,,,
25427,PUMPKIN MUFFIN BATTER NEW,18# ,CASE,"Maui Muffins, Plano TX",AU,,,,,,,,,
23408,RAISIN BRAN MUFFIN MIX ,18#,CASE,"Maui Muffins, Plano TX","AU,DA,HO",,,,,,,,,
09584,SOURDOUGH BREAD 2# LOAF FZ ,12 CT,CASE ,"The New World Bakery, Kyle TX","AU,DA,HO",,,,,,,,,
25915,"SOURDOUGH BREAD HOAGIE 7.5"" FZN ",6 DZ ,CASE ,"The New World Bakery, Kyle TX","AU,DA",,,,,,,,,
10977,SOURDOUGH BREAD PULLMAN ,12 CT,CASE ,"The New World Bakery, Kyle TX","AU,DA",,,,,,,,,
30517,SOURDOUGH WHOLE WHEAT BREAD,25OZ / 10 CT,CASE ,"Bread Man Baking Co, Houston TX",HO,,,,,,,,,
23391,SOUTH OF THE BORDER MUFFIN MIX,18#,CASE,"Maui Muffins, Plano TX",AU,,,,,,,,,
23411,SOUTH WESTERN CORN MUFFIN MIX ,18#,CASE,"Maui Muffins, Plano TX",HO,,,,,,,,,
23409,STRAWBERRY MUFFIN MIX,18#,CASE,"Maui Muffins, Plano TX",AU,,,,,,,,,
18596,"SWEET WHEAT BUN 4.5"" ",8 DZ ,CASE ,"The New World Bakery, Kyle TX",DA,,,,,,,,,
23412,TEXAS CORN MUFFIN MIX,18#,CASE,"Maui Muffins, Plano TX","AU,DA,HO",,,,,,,,,
23055,TORTILLA CHIPS COOKED ,4/2.5#,CASE ,"Fiesta Tortilla, Austin TX",AU,,,,,,,,,
09257,WHEAT SLICED  4# FZ ,6 CT,CASE,"The New World Bakery, Kyle TX","AU,DA",,,,,,,,,
10506,WHITE BREAD TX TOAST FZN ,12 CT,CASE ,"The New World Bakery, Kyle TX","AU,DA",,,,,,,,,
30347,"WHITE CORN TORTILLAS 6"" FZN NEW",12/30  CT,CASE ,"El Milagro, San Marcos TX",DA,,,,,,,,,
30346,"WHITE CORN TORTILLAS 6"" NEW",12/30 CT,CASE ,"El Milagro, San Marcos TX",AU,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,
ITEM#,"TEXAS-MADE CHEESE, DAIRY & EGGS",PACK,UOM,ARTISAN,AVAILABLE LOCATION,,,,,,,,,
00707,BLUE DEEP ELLUM CHZ LOCAL,5#,WHEEL,"Dallas Mozz Co, Deep Ellum TX","AU,DA",,,,,,,,,
04251,BOSQUE BLUE CHZ ,6#,WHEEL,"Veldhuizen Cheese, Dublin TX","AU,DA,HO",,,,,,,,,
06101,CACIOTTA ANCHO CHILE CHEESE,5#,BOX,"Dallas Mozz Co, Deep Ellum TX","AU,DA,HO",,,,,,,,,
06101,CACIOTTA ANCHO CHILE CHZ DMC ,5#,WHEEL,"Dallas Mozz Co, Deep Ellum TX","AU,DA,HO",,,,,,,,,
22957,CALDERA ESPANA SPANISH-STYLE SMOKED ,4 / 2#,CASE ,"River Whey Cheese, Granbury TX","AU,DA,HO",,,,,,,,,
04525,CHEDDAR CHZ CLASSIC ,13-16#,WHEEL,"Veldhuizen Cheese, Dublin TX","AU,DA",,,,,,,,,
04525,CHEDDAR CHZ CLASSIC ,13-16#,WHEEL,"Veldhuizen Cheese, Dublin TX","AU,DA",,,,,,,,,
04640,CHEDDAR JALAPENO CHZ ,13-16#,WHEEL,"Velhuizen Cheese, Dublin TX","AU,DA,HO",,,,,,,,,
29267,CHZ RIVER WHEY BLUE  ,4 / 2.5#,CASE ,"River Whey Cheese, Granbury TX",DA,,,,,,,,,
00775,COTIJA JAIMITO CHZ,5#,BAG,"Cheesemakers, Cleveland TX","AU,DA",,,,,,,,,
